      r[a_0]     n(bound)   n(unbound) n(tightbound)
6.144212e-06 8.026896e-01 1.894115e-05 7.960571e-01
6.234783e-06 3.164285e+00 1.894115e-05 3.138139e+00
6.326688e-06 7.016841e+00 1.894115e-05 6.958862e+00
6.419948e-06 1.229470e+01 1.894115e-05 1.219312e+01
6.514583e-06 1.893445e+01 1.894115e-05 1.877799e+01
6.610613e-06 2.687479e+01 1.894115e-05 2.665272e+01
6.708059e-06 3.605654e+01 1.894115e-05 3.575861e+01
6.806940e-06 4.642253e+01 1.894115e-05 4.603895e+01
6.907280e-06 5.791756e+01 1.894115e-05 5.743899e+01
7.009099e-06 7.048831e+01 1.894115e-05 6.990587e+01
7.112418e-06 8.408330e+01 1.894115e-05 8.338853e+01
7.217260e-06 9.865285e+01 1.894115e-05 9.783770e+01
7.323648e-06 1.141490e+02 1.894115e-05 1.132058e+02
7.431604e-06 1.305254e+02 1.894115e-05 1.294469e+02
7.541152e-06 1.477375e+02 1.894115e-05 1.465168e+02
7.652314e-06 1.657421e+02 1.894115e-05 1.643726e+02
7.765115e-06 1.844976e+02 1.894115e-05 1.829731e+02
7.879579e-06 2.039639e+02 1.894115e-05 2.022786e+02
7.995730e-06 2.241023e+02 1.894115e-05 2.222506e+02
8.113593e-06 2.448756e+02 1.894115e-05 2.428522e+02
8.233193e-06 2.662476e+02 1.894115e-05 2.640477e+02
8.354557e-06 2.881839e+02 1.894115e-05 2.858026e+02
8.477710e-06 3.106508e+02 1.894115e-05 3.080839e+02
8.602677e-06 3.336163e+02 1.894115e-05 3.308596e+02
8.729487e-06 3.570492e+02 1.894115e-05 3.540989e+02
8.858167e-06 3.809197e+02 1.894115e-05 3.777722e+02
8.988743e-06 4.051989e+02 1.894115e-05 4.018508e+02
9.121244e-06 4.298592e+02 1.894115e-05 4.263073e+02
9.255698e-06 4.548737e+02 1.894115e-05 4.511152e+02
9.392134e-06 4.802169e+02 1.894115e-05 4.762489e+02
9.530581e-06 5.058640e+02 1.894115e-05 5.016841e+02
9.671069e-06 5.317911e+02 1.894115e-05 5.273969e+02
9.813628e-06 5.579753e+02 1.894115e-05 5.533648e+02
9.958288e-06 5.843947e+02 1.894115e-05 5.795659e+02
1.010508e-05 6.110280e+02 1.894115e-05 6.059792e+02
1.025404e-05 6.378549e+02 1.894115e-05 6.325844e+02
1.040519e-05 6.648558e+02 1.894115e-05 6.593622e+02
1.055857e-05 6.920120e+02 1.894115e-05 6.862940e+02
1.071421e-05 7.193053e+02 1.894115e-05 7.133618e+02
1.087215e-05 7.467184e+02 1.894115e-05 7.405484e+02
