# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      
   1.124e+20    1.661e+03    1.350e-18    1.000e+00    1.350e-18    8.256e-64    0.000e+00    1.213e+01    2.097e+01
   1.124e+20    2.041e+03    4.185e-15    1.000e+00    4.185e-15    7.832e-52    0.000e+00    1.213e+01    2.097e+01
   1.124e+20    2.507e+03    2.992e-12    1.000e+00    2.992e-12    4.648e-42    0.000e+00    1.213e+01    2.097e+01
   1.124e+20    3.080e+03    6.481e-10    1.000e+00    6.481e-10    4.438e-34    0.000e+00    1.213e+01    2.097e+01
   1.124e+20    3.785e+03    5.316e-08    1.000e+00    5.316e-08    1.475e-27    0.000e+00    1.213e+01    2.097e+01
   1.124e+20    4.650e+03    1.983e-06    1.000e+00    1.983e-06    3.220e-22    0.000e+00    1.213e+01    2.097e+01
   1.124e+20    5.713e+03    3.918e-05    1.000e+00    3.918e-05    7.829e-18    0.000e+00    1.211e+01    2.094e+01
   1.124e+20    7.019e+03    4.648e-04    9.995e-01    4.648e-04    3.275e-14    0.000e+00    1.208e+01    2.087e+01
   1.124e+20    8.624e+03    3.657e-03    9.963e-01    3.657e-03    3.328e-11    0.000e+00    1.200e+01    2.073e+01
   1.124e+20    1.060e+04    2.049e-02    9.795e-01    2.049e-02    1.066e-08    0.000e+00    1.186e+01    2.048e+01
   1.124e+20    1.302e+04    8.478e-02    9.152e-01    8.478e-02    1.299e-06    0.000e+00    1.165e+01    2.012e+01
   1.124e+20    1.599e+04    2.565e-01    7.436e-01    2.563e-01    6.797e-05    0.000e+00    1.141e+01    1.969e+01
   1.124e+20    1.965e+04    5.430e-01    4.587e-01    5.397e-01    1.647e-03    0.000e+00    1.119e+01    1.930e+01
   1.124e+20    2.414e+04    8.187e-01    2.013e-01    7.787e-01    2.003e-02    0.000e+00    1.106e+01    1.907e+01
   1.124e+20    2.966e+04    1.059e+00    7.000e-02    8.012e-01    1.288e-01    0.000e+00    1.095e+01    1.888e+01
